,source,boolq,cb,cola,copa,mnli,mrpc,multirc,qnli,qqp,rte,sst2,wic,wnli,wsc,avg,lp(mnli)
0,zhayunduo/roberta-base-stocktwits-finetuned,-8.2874617737003,-3.5714285714285694,-4.218600191754561,2.0,-2.664768104149715,-14.215686274509792,-2.00082508250825,-1.4643968515467805,-0.4798417017066612,-21.29963898916968,-0.1146788990825768,-6.426332288401248,2.816901408450697,-2.884615384615387,-4.486526621723059,-12.599674532139955
1,vanadhi/roberta-base-fiqa-flm-sq-flit,1.4373088685015318,-1.7857142857142776,-2.7804410354745954,4.000000000000007,-1.4137510170870655,1.2254901960784397,3.052805280528048,0.6955885044847179,0.1582982933465331,1.0830324909747162,-0.4587155963302933,2.6645768025078524,0.0,-23.07692307692308,-1.0856031839362477,-1.0048820179007336
2,textattack/roberta-base-imdb,1.0703363914373083,3.5714285714285694,-0.8628954937679794,1.0,-0.9458909682668803,2.941176470588232,-3.155940594059402,-0.2745744096650355,-0.1657185258471543,-6.137184115523468,0.0,-2.6645768025078382,0.0,0.0,-0.4017028197274034,-3.639137510170876
3,aychang/roberta-base-imdb,-7.339449541284409,-14.285714285714278,-5.560882070949191,-9.0,0.2644426362896581,-1.9607843137254832,-3.155940594059402,-0.7321984257734044,-0.1681919366806994,-17.689530685920587,-1.2614678899082603,-7.680250783699044,-8.45070422535212,-5.769230769230774,-5.913564491857715,-12.62001627339302
4,aypan17/roberta-base-imdb,-0.8256880733944882,3.5714285714285694,-3.259827420901246,4.000000000000007,0.213588283157037,1.4705882352941302,2.4958745874587507,0.0366099212886723,-0.200346277516715,-5.415162454873652,0.1146788990825484,-1.2539184952977962,0.0,-26.923076923076927,-1.8553750819536508,-3.496745321399516
5,akdeniz27/roberta-base-cuad,-5.198776758409792,1.7857142857142918,-3.451581975071917,4.000000000000007,-0.0203417412530484,-1.7156862745097925,-3.155940594059402,-1.2264323631704317,0.0420479841701535,-7.942238267148014,-0.9174311926605584,-8.77742946708463,0.0,0.0,-1.8984354545345092,-8.572009764035805
6,saibo/legal-roberta-base,-4.740061162079513,0.0,-1.0546500479386367,-8.0,-10.54719283970708,1.2254901960784397,-0.2062706270627075,-4.557935200439317,-5.758100420479849,-7.581227436823099,-1.2614678899082603,-2.351097178683375,0.0,0.0,-3.2023223290745286,-1.7575264442636396
7,marshmellow77/roberta-base-cuad,-5.198776758409792,1.7857142857142918,-3.643336529242561,4.000000000000007,0.2237591537835612,0.0,-3.155940594059402,-1.299652205747762,0.0420479841701535,-7.942238267148014,-0.9174311926605584,-5.329153605015662,0.0,0.0,-1.5310719806154098,-8.572009764035805
8,Rakib/roberta-base-on-cuad,-0.3669724770642233,1.7857142857142918,-3.739213806327896,-5.0,0.6204231082180627,1.4705882352941302,1.877062706270628,-0.4576240161083547,-0.954736581746232,-14.440433212996396,0.1146788990825484,0.4702194357366949,0.0,0.0,-1.3300209588519103,-2.4796582587469587
9,textattack/roberta-base-MRPC,2.721712538226299,0.0,0.1917545541706573,4.000000000000007,-1.8307567127746156,3.921568627450995,3.4034653465346523,-0.6406736225517164,-1.8872124659906009,-5.415162454873652,0.4587155963302507,0.4702194357366949,0.0,0.0,0.3852593458756408,7.274206672091118
10,textattack/roberta-base-CoLA,2.6605504587155906,-1.7857142857142776,0.9587727708533008,4.000000000000007,-1.3730675345809686,3.1862745098039227,3.052805280528048,-0.1464396851546752,-2.1296067276774835,-15.16245487364622,-0.229357798165168,-3.76175548589341,-19.71830985915493,-2.884615384615387,-2.3809227581929755,-2.4694873881204344
11,gargam/roberta-base-crest,-2.2018348623853257,1.7857142857142918,-2.205177372962609,4.000000000000007,0.4373474369405983,1.7156862745098067,-3.155940594059402,-0.7871133077064059,-0.0074202325006353,2.527075812274361,-0.3440366972477164,-3.448275862068961,0.0,0.0,-0.1202839371065707,-4.208706265256318
12,mariagrandury/roberta-base-finetuned-sms-spam-detection,-0.5504587155963208,-1.7857142857142776,-4.50623202301054,4.000000000000007,-1.1187957689178205,-0.4901960784313672,2.330858085808579,0.3294892915980085,-3.2129606727677498,-3.2490974729241917,0.5733944954128276,-2.821316614420056,0.0,-26.923076923076927,-2.673150477288559,-5.897070789259573
13,surrey-nlp/roberta-base-finetuned-abbr,-0.4281345565749177,-1.7857142857142776,-0.3835091083413289,-6.0,0.2339300244100854,2.4509803921568647,2.289603960396036,-1.0433827567270697,-1.6596586693049744,-5.776173285198567,0.0,-1.4106583072100136,-2.816901408450711,-6.7307692307692335,-1.6471705165234365,-0.6590724165988604
14,cardiffnlp/twitter-roberta-base-stance-feminist,-7.033639143730895,-1.7857142857142776,-1.1505273250239725,4.000000000000007,-1.6680227827501994,0.9803921568627628,1.8151815181518105,-1.0250777960827406,-1.672025723472686,-16.967509025270758,-0.8027522935780098,-0.7836990595611297,0.0,0.0,-1.863813840012149,-4.249389747762422
15,cestwc/roberta-base-unigram-ternary,-5.6880733944954045,-3.5714285714285694,-8.149568552253115,4.000000000000007,-3.508950366151339,-0.2450980392156765,0.6806930693069262,-1.4643968515467805,-2.428889438535748,-13.357400722021666,-0.9174311926605584,-3.6050156739811774,0.0,0.0,-2.7325399809273643,-8.388934092758348
16,thatdramebaazguy/roberta-base-wikimovies,1.3149847094801288,1.7857142857142918,0.0958772770853215,-12.0,-0.8543531326281482,0.4901960784313814,2.64026402640264,-0.4393190554640398,-2.715805095226329,-3.971119133574007,-0.8027522935780098,-1.0971786833855788,0.0,0.0,-1.1109636440530248,-1.7575264442636396
17,hoanhkhoa/roberta-base-finetuned-ner,-9.571865443425082,-1.7857142857142776,-1.1505273250239725,-4.0,0.0305126118795726,1.9607843137254972,-3.155940594059402,0.1281347245103177,-0.8310660400692598,-6.498194945848383,-0.4587155963302933,-2.9780564263322877,-1.408450704225352,0.0,-2.12279283649378,-6.822620016273397
